datetime country     shape                                                    city
168 10/10/2006 01:00      us   diamond                                              pennington
169 10/10/2006 05:00      us  triangle                                           san francisco
170 10/10/2006 12:37      us   unknown                                             blairsville
171 10/10/2006 16:00      us     light                                                savannah
172 10/10/2006 16:00      us  triangle                                              waynesboro
173 10/10/2006 19:00    <NA>  fireball                                                  unsure
174 10/10/2006 20:00      us     other                                                    bray
175 10/10/2006 21:47      gb formation                      plymouth (devonshire) (uk/england)
176 10/10/2006 22:40      us     light                                                waycross
177 10/10/2006 22:50      us      disk                                               wolfforth
178 10/10/2006 23:00      us   unknown                                               lyndhurst
179 10/10/2006 23:55      us  triangle                                                    knik
180 10/10/2007 01:00      us     light                                                 lebanon
181 10/10/2007 01:00      us  changing                                             stockbridge
182 10/10/2007 04:00      us  changing                                                  denver
183 10/10/2007 04:30      us    sphere                                            jacksonville
184 10/10/2007 05:00      us    circle                                             bakersfield
185 10/10/2007 06:00      us      oval                                                   indio
186 10/10/2007 13:00      us  triangle                                                   owego
187 10/10/2007 18:33      us    circle                                             downingtown
188 10/10/2007 19:00      us     flash                                                  austin
189 10/10/2007 20:10      us    sphere                                 starrsville (covington)
190 10/10/2007 20:24    <NA>  fireball                                 west palm beach florida
191 10/10/2007 20:30      us   unknown                                                 conyers
192 10/10/2007 20:55      us   unknown                                              vero beach
193 10/10/2007 21:00      us      oval                                            jensen beach
194 10/10/2007 21:43      us formation                                                 houston
195 10/10/2007 22:00      us     light                                                  duluth
196 10/10/2007 22:00      us    circle                                                 fleming
197 10/10/2007 22:00      us   unknown                                              grove city
198 10/10/2007 22:00      us     other                                             van alstyne
199 10/10/2007 23:05      us  triangle                                              northglenn
200 10/10/2007 23:20    <NA>     light                                          stord (norway)
201 10/10/2008 02:00      ca     other                                         london (canada)
202 10/10/2008 02:00      us     light                                            north branch
203 10/10/2008 02:00      us    circle                                            slingerlands
204 10/10/2008 04:00      us      disk                                                  carlin
205 10/10/2008 04:50      us formation                                              evansville
206 10/10/2008 06:00      us      oval                                                  albany
207 10/10/2008 09:30      us     flash                                     amarillo (hwy. 140)
208 10/10/2008 10:22      us  triangle                                                 fremont
209 10/10/2008 18:00      us  triangle                                                    yuma
210 10/10/2008 19:00      us     light                                              south bend
211 10/10/2008 20:00      us formation                                             la crescent
212 10/10/2008 20:00    <NA>   unknown                                           moon township
213 10/10/2008 20:00      us      oval                                            philadelphia
214 10/10/2008 20:00      us     light                                                 seattle
215 10/10/2008 20:40      us     light                                                  pueblo
216 10/10/2008 21:30      us      oval                                              cincinnati
217 10/10/2008 22:00      us      disk                                               san diego
218 10/10/2008 22:30      us    circle                                                 madison
219 10/10/2008 23:15      us    sphere                                               coldwater
220 10/10/2009 00:00    <NA> rectangle                                               greenland
221 10/10/2009 12:00      us       egg                                           crested butte
222 10/10/2009 12:42      us   unknown                                                   tulsa
223 10/10/2009 16:24      us   unknown                                                   eagar
224 10/10/2009 19:30      us   unknown                                                 suffolk
225 10/10/2009 20:30      us     light                                                 anaheim
226 10/10/2009 20:45      us     light                                              wilmington
227 10/10/2009 21:00      us      disk                                                leesburg
228 10/10/2009 22:30      us     other                                       thief river falls
229 10/10/2009 23:00      us  changing                                           michigan city
230 10/10/2009 23:23      us     light                                               cupertino
231 10/10/2010 01:00      us     light                                            orchard park
232 10/10/2010 02:30      us    circle                                              harrisburg
233 10/10/2010 03:00      us    circle                                                  euclid
234 10/10/2010 08:30      us formation                                                   starr
235 10/10/2010 10:45      us     flash                                              leominster
236 10/10/2010 12:00      us     light                                               greenwich
237 10/10/2010 13:00      us     light                                        north charleston
238 10/10/2010 15:00    <NA>  triangle                                   san francisco airport
239 10/10/2010 16:30      us     cigar                                             springfield
240 10/10/2010 17:10      us     light                                              bridgeport
241 10/10/2010 18:30      us  triangle                                               clackamas
242 10/10/2010 20:00      us      oval                                              san angelo
243 10/10/2010 20:20      us  fireball                                                 windsor
244 10/10/2010 20:45      us  cylinder                                                sterling
245 10/10/2010 21:00      us     other                                                 everett
246 10/10/2010 21:00      us      disk                                              kykotsmovi
247 10/10/2010 21:30      us    circle                                                  albany
248 10/10/2010 22:30      us       egg                                            garden grove
249 10/10/2010 23:00      us  changing                                                   miami
250 10/10/2010 23:30      us      disk     
